,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_uri,track_href,analysis_url,duration_ms,time_signature
260,0.562,0.329,3,-8.556,0,0.162,0.502,0.0,0.562,0.502,148.524,audio_features,24zaoEGmRjgA0zt47uLgRF,24zaoEGmRjgA0zt47uLgRF,https://api.spotify.com/v1/tracks/24zaoEGmRjgA0zt47uLgRF,https://api.spotify.com/v1/audio-analysis/24zaoEGmRjgA0zt47uLgRF,179213,4
261,0.765,0.776,7,-4.109,0,0.0355,0.184,0.0,0.245,0.812,148.094,audio_features,7l3OQbWE1gvd4204aEgAz8,7l3OQbWE1gvd4204aEgAz8,https://api.spotify.com/v1/tracks/7l3OQbWE1gvd4204aEgAz8,https://api.spotify.com/v1/audio-analysis/7l3OQbWE1gvd4204aEgAz8,182867,4
262,0.77,0.519,2,-8.482,1,0.0602,0.332,7.77e-05,0.103,0.571,127.991,audio_features,5uBlr2RNpuu3n7ROgiQa7w,5uBlr2RNpuu3n7ROgiQa7w,https://api.spotify.com/v1/tracks/5uBlr2RNpuu3n7ROgiQa7w,https://api.spotify.com/v1/audio-analysis/5uBlr2RNpuu3n7ROgiQa7w,150200,4
263,0.747,0.56,5,-7.086,1,0.0494,0.169,0.0,0.55,0.351,129.019,audio_features,30Z12rJpW0M0u8HMFpigTB,30Z12rJpW0M0u8HMFpigTB,https://api.spotify.com/v1/tracks/30Z12rJpW0M0u8HMFpigTB,https://api.spotify.com/v1/audio-analysis/30Z12rJpW0M0u8HMFpigTB,200790,4
264,0.494,0.208,11,-14.595,0,0.0398,0.874,0.00094,0.0926,0.26,83.934,audio_features,4ZxL5Fi5K0nkyTmsbwPdsj,4ZxL5Fi5K0nkyTmsbwPdsj,https://api.spotify.com/v1/tracks/4ZxL5Fi5K0nkyTmsbwPdsj,https://api.spotify.com/v1/audio-analysis/4ZxL5Fi5K0nkyTmsbwPdsj,234905,4
265,0.577,0.426,2,-10.495,1,0.591,0.851,0.0,0.103,0.764,148.082,audio_features,3cBHgJAkUkD0OdJsfooZEg,3cBHgJAkUkD0OdJsfooZEg,https://api.spotify.com/v1/tracks/3cBHgJAkUkD0OdJsfooZEg,https://api.spotify.com/v1/audio-analysis/3cBHgJAkUkD0OdJsfooZEg,236460,1
266,0.795,0.582,10,-5.788,1,0.0541,0.0668,5.67e-06,0.106,0.426,139.949,audio_features,1qWpYCt9rJmr0oPs1tqFzP,1qWpYCt9rJmr0oPs1tqFzP,https://api.spotify.com/v1/tracks/1qWpYCt9rJmr0oPs1tqFzP,https://api.spotify.com/v1/audio-analysis/1qWpYCt9rJmr0oPs1tqFzP,209143,4
267,0.617,0.592,4,-4.816,1,0.0289,0.0204,1.05e-06,0.147,0.374,117.97,audio_features,0BYa5V0RyOYthDeCMUBJQZ,0BYa5V0RyOYthDeCMUBJQZ,https://api.spotify.com/v1/tracks/0BYa5V0RyOYthDeCMUBJQZ,https://api.spotify.com/v1/audio-analysis/0BYa5V0RyOYthDeCMUBJQZ,281493,4
268,0.863,0.593,7,-4.599,1,0.24,0.721,3.84e-05,0.103,0.756,148.028,audio_features,6sOJrGn9Ax8TumuKQEFpuV,6sOJrGn9Ax8TumuKQEFpuV,https://api.spotify.com/v1/tracks/6sOJrGn9Ax8TumuKQEFpuV,https://api.spotify.com/v1/audio-analysis/6sOJrGn9Ax8TumuKQEFpuV,181999,4
269,0.676,0.24,5,-10.486,0,0.0511,0.181,1.06e-05,0.364,0.134,75.522,audio_features,4Vha0YyxRZSfLzzoph7rNx,4Vha0YyxRZSfLzzoph7rNx,https://api.spotify.com/v1/tracks/4Vha0YyxRZSfLzzoph7rNx,https://api.spotify.com/v1/audio-analysis/4Vha0YyxRZSfLzzoph7rNx,279147,3
